id,state,votes,status,rep16,dem16,rep12,dem12,rep08,dem08,rep04,dem04,rep00,dem00
US-AK,אלסקה,3,solid-rep,51.3,36.6,54.8,40.8,59.4,37.9,61.1,35.5,58.6,27.7
US-AL,אלבמה,9,solid-rep,62.1,34.4,60.6,38.4,60.3,38.7,62.5,36.8,56.5,41.6
US-AR,ארקנסו,6,solid-rep,60.6,33.7,60.6,36.7,58.7,38.9,54.3,44.6,51.3,45.9
US-AZ,אריזונה,11,tossup,48.1,44.6,53.5,44.6,53.4,44.9,54.8,44.3,51,44.7
US-CA,קליפורניה,55,solid-dem,31.6,61.7,37.1,60.2,37,61,44.4,54.3,41.7,53.5
US-CO,קולורדו,9,lean-dem,43.3,48.2,46.1,51.5,44.7,53.7,51.7,47,50.8,42.39
US-CT,קונטיקט,7,solid-dem,40.9,54.6,40.7,58.1,38.2,60.6,44,54.3,38.4,55.9
US-DC,וושינגטון די סי,3,solid-dem,4.1,90.9,7.3,90.9,6.5,92.5,9.3,89.2,9,85.2
US-DE,דלאוור,3,solid-dem,41.7,53.1,40,58.6,36.9,61.9,45.8,53.5,41.9,55
US-FL,פלורידה,29,tossup,49,47.8,49.1,50,48.2,50.9,52.1,47.1,48.9,48.8
US-GA,ג'ורג'יה,16,lean-rep,50.4,45.4,45.5,53.3,52.1,46.9,58,41.4,54.7,43
US-HI,הוואי,4,solid-dem,30.4,62.9,27.8,70.6,26.6,71.9,45.3,54,37.5,55.8
US-IA,איווה,6,tossup,51.2,41.7,46.2,52,44.4,53.9,49.9,49.2,48.2,48.5
US-ID,איידהו,4,solid-rep,59.3,27.5,64.1,32.4,61.2,35.9,68.4,30.3,67.2,27.6
US-IL,אילינוי,20,solid-dem,38.8,55.8,40.7,57.6,36.8,61.9,44.5,54.8,42.6,54.6
US-IN,אינדיאנה,11,solid-rep,56.5,37.5,54.1,43.9,48.8,49.9,59.9,39.3,56.7,41
US-KS,קנזס,6,solid-rep,56.2,35.7,59.7,38.1,54.5,41.6,62,36.6,58,37.2
US-KY,קנטקי,8,solid-rep,60.5,32.7,60.5,37.8,57.4,41.2,59.6,39.7,56.5,41.4
US-LA,לואיזיאנה,8,solid-rep,58.1,38.5,57.8,40.6,58.6,39.9,56.7,42.2,52.6,44.9
US-MA,מסצ'וסטס,11,solid-dem,32.8,60,37.5,60.7,36,61.8,36.8,61.9,32.5,59.8
US-MD,מרילנד,10,solid-dem,33.9,60.3,35.9,62,36.5,61.9,42.9,55.9,40.2,56.6
US-ME,מיין,4,lean-dem,44.9,47.8,41,56.3,40.4,57.7,44.6,53.6,44,49.1
US-MI,מישיגן,16,tossup,47.5,47.3,44.7,54.2,40.9,57.3,47.8,51.2,46.2,51.3
US-MN,מינסוטה,10,lean-dem,44.9,46.4,45,52.7,43.8,54.1,47.6,51.1,45.5,47.9
US-MO,מיזורי,10,solid-rep,56.4,37.9,53.8,44.4,49.4,49.2,53.3,46.1,50.4,47.1
US-MS,מיסיסיפי,6,solid-rep,57.9,40.1,55.3,43.8,56.2,43,59.4,39.8,57.6,40.7
US-MT,מונטנה,3,solid-rep,,,,,,,,,,
US-NC,קרוליינה הצפונית,15,tossup,,,,,,,,,,
US-ND,דקוטה הצפונית,3,solid-rep,,,,,,,,,,
US-NE,נברסקה,5,solid-rep,,,,,,,,,,
US-NH,ניו המפשייר,4,tossup,,,,,,,,,,
US-NJ,ניו ג'רזי,14,solid-dem,,,,,,,,,,
US-NM,ניו מקסיקו,5,lean-dem,,,,,,,,,,
US-NV,נבדה,6,tossup,,,,,,,,,,
US-NY,ניו יורק,29,solid-dem,,,,,,,,,,
US-OH,אוהיו,18,tossup,,,,,,,,,,
US-OK,אוקלהומה,7,solid-rep,,,,,,,,,,
US-OR,אורגון,7,solid-dem,,,,,,,,,,
US-PA,פנסילבניה,20,tossup,,,,,,,,,,
US-RI,רוד איילנד,4,solid-dem,,,,,,,,,,
US-SC,קרוליינה הדרומית,9,lean-rep,,,,,,,,,,
US-SD,דקוטה הדרומית,3,solid-rep,,,,,,,,,,
US-TN,טנסי,11,solid-rep,,,,,,,,,,
US-TX,טקסס,38,tossup,,,,,,,,,,
US-UT,יוטה,6,solid-rep,,,,,,,,,,
US-VA,וירג'יניה,13,lean-dem,,,,,,,,,,
US-VT,ורמונט,3,solid-dem,,,,,,,,,,
US-WA,וושינגטון,12,solid-dem,,,,,,,,,,
US-WI,ויסקונסין,10,tossup,,,,,,,,,,
US-WV,וירג'יניה המערבית,5,solid-rep,,,,,,,,,,
US-WY,ויומינג,3,solid-rep,,,,,,,,,,
